ABS_TIME,CMD,ACT_TO_ACT,PRE_TO_ACT,CMD_TO_PRE,ACT_TO_PRE,RD_16,RD_32,WR_16,WR_32,CMD_UTIL,OPEN_rdutil,OPEN_wrutil,OPENRD_distutil,OPENWR_distutil,Z_act2act
309783100,ACTV,2007900,1382900,0,0,0,0,0,0,0,0,0,0,0,-0.19193743292130333
309827500,PREpb,0,0,22100,44400,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
309854100,ACTV,71000,26600,0,0,0,0,0,0,0,0,0,0,0,-0.2184925766792801
310088900,PREpb,0,0,212700,234800,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
310115500,ACTV,261400,26600,0,0,0,0,0,0,0,0,0,0,0,-0.215882168619226
310208500,PREpb,0,0,17700,93000,1,0,1,0,10,0.015625,0.015625,0,0,-0.21946599565125405
310235100,ACTV,119600,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21782626453790074
310891400,PREpb,0,0,634100,656300,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
311400800,ACTV,0,3040500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
312092500,PREpb,0,0,634000,691700,0,2,0,0,10,0.0625,0.0,1.0,0,-0.21946599565125405
312278700,ACTV,2043600,1387300,0,0,0,0,0,0,0,0,0,0,0,-0.1914479814100432
312336300,PREpb,0,0,35400,57600,1,0,0,0,10,0.015625,0.0,0,0,-0.21946599565125405
312362900,ACTV,84200,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21831160301125113
312553400,PREpb,0,0,70900,190500,0,2,0,1,14,0.0625,0.03125,6.0,0,-0.21946599565125405
312580000,ACTV,217100,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21648952721723227
313107600,ACTV,10944400,10217400,0,0,0,0,0,0,0,0,0,0,0,-0.06941688865306066
313147500,PREpb,0,0,545400,567500,0,0,1,0,18,0.0,0.015625,0,0,-0.21946599565125405
313763700,PREpb,0,0,634000,656100,0,1,0,0,10,0.03125,0.0,0,0,-0.21946599565125405
314712600,ACTV,0,948900,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
314894300,ACTV,2314300,1746800,0,0,0,0,0,0,0,0,0,0,0,-0.18773665020281294
315368500,PREpb,0,0,633800,655900,0,1,0,0,12,0.03125,0.0,0,0,-0.21946599565125405
316059700,PREpb,0,0,669000,1165400,0,0,0,2,6,0.0,0.0625,0,6.0,-0.21946599565125405
316587200,ACTV,13998600,13373400,0,0,0,0,0,0,0,0,0,0,0,-0.02754342070654169
317243100,PREpb,0,0,633800,655900,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
318187200,ACTV,0,944100,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
318861000,PREpb,0,0,616100,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
319916000,ACTV,54829901,54138600,0,0,0,0,0,0,0,0,0,0,0,0.5322588756847124
320186300,ACTV,21204700,67972600,0,0,0,0,0,0,0,0,0,0,0,0.0712531208982682
320204000,ACTV,2016800,1343000,0,0,0,0,0,0,0,0,0,0,0,-0.19181541279664746
320589600,PREpb,0,0,616100,673600,1,1,0,0,18,0.046875,0.0,1.0,0,-0.21946599565125405
320846800,PREpb,0,0,634000,660500,2,3,0,0,4,0.03125,0.0,0,0,-0.21946599565125405
320860100,PREpb,0,0,611700,656100,1,0,0,0,4,0.015625,0.0,0,0,-0.21946599565125405
321702700,ACTV,0,1113100,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
322043800,ACTV,0,1197000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
322061600,ACTV,0,1201500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
322345100,PREpb,0,0,620300,642400,1,0,0,0,16,0.015625,0.0,0,0,-0.21946599565125405
322704000,PREpb,0,0,633600,660200,0,1,0,0,4,0.03125,0.0,0,0,-0.21946599565125405
322717300,PREpb,0,0,611500,655700,1,0,0,0,4,0.015625,0.0,0,0,-0.21946599565125405
324109000,ACTV,0,1405000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
324126700,ACTV,0,1409400,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
325044000,PREpb,0,0,602600,917300,2,0,0,0,16,0.015625,0.0,0.0,0,-0.21946599565125405
325274500,ACTV,10561900,9906000,0,0,0,0,0,0,0,0,0,0,0,-0.07466101198799076
325917200,PREpb,0,0,620500,642700,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
326706400,ACTV,0,1662400,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
326724100,ACTV,0,4020100,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
326981200,ACTV,0,1064000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
327628100,PREpb,0,0,584900,646900,1,0,0,0,24,0.015625,0.0,0,0,-0.21946599565125405
327942800,PREpb,0,0,412200,1236400,2,0,2,0,6,0.015625,0.015625,0.0,0.0,-0.21946599565125405
327956100,PREpb,0,0,673500,1232000,0,2,0,2,4,0.0,0.0625,0,1.0,-0.21946599565125405
330169200,ACTV,15274900,14109500,0,0,0,0,0,0,0,0,0,0,0,-0.010045186425832449
330213500,PREpb,0,0,22100,44300,1,0,0,0,18,0.015625,0.0,0,0,-0.21946599565125405
330240100,ACTV,70900,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21849394769191668
330896100,PREpb,0,0,633900,656000,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
332044100,ACTV,5320000,4088000,0,0,0,0,0,0,0,0,0,0,0,-0.14652812338503673
332487200,PREpb,0,0,420900,443100,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
332513800,ACTV,469700,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21302634929722356
333395400,PREpb,0,0,669000,881600,0,0,0,2,10,0.0,0.03125,0,0.0,-0.21946599565125405
334189100,ACTV,3949000,3293000,0,0,0,0,0,0,0,0,0,0,0,-0.1653247066325901
334233400,PREpb,0,0,22200,44300,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
334260000,ACTV,70900,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21849394769191668
334916200,PREpb,0,0,634000,656200,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
336361500,PREpb,0,0,35400,2101500,1,0,0,0,6,0.046875,0.0,24.0,0,-0.21946599565125405
336388200,ACTV,0,26700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
336445800,ACTV,30399300,29725500,0,0,0,0,0,0,0,0,0,0,0,0.1973122487815317
336574300,PREpb,0,0,164000,186100,0,0,0,1,12,0.0,0.03125,0,0,-0.21946599565125405
